speakers,clean_name,race,job,party,gender
ACHMED RASHIDI,Ahmed Rashidi,middle eastern,sme,na,male
ADEL AL JUBEIR,Adel Al Jubeir,middle eastern,foreign ambassador,na,male
ADM MIKE MULLEN,Mike Mullen,white,military,na,male
ADMIRAL MIKE MULLEN,Mike Mullen,white,military,na,male
AHMED RASHIDI ON TAPE,Ahmed Rashidi,middle eastern,sme,na,male
AINSLEY EARHARDT,Ainsley Earhardt,white,pundit,rep,female
ALANA SIMMONS,Alana Simmons,black,pundit,na,female
ALEX JAFFE,Alex Jaffe,white,journalist,na,female
ALFONSO AGUILAR,Alfonso Aguilar,hispanic,activist,rep,male
ALI VITALI,Ali Vitali,white,journalist,na,female
ALICIA GARZA,Alicia Garza,black,activist,dem,female
ALICIA MACHADO,Alicia Machado,hispanic,activist,dem,female
AMB BRETT MCGURK,Brett McGurk,white,ambassador,dem,male
AMY HOLMES,Amy Holmes,black,pundit,rep,female
AMY WALKER,Amy Walter,white,journalist,na,female
AMY WALTER,Amy Walter,white,journalist,na,female
AMY WALTERS,Amy Walters,white,journalist,na,female
ANN COMPTON,Ann Compton,white,journalist,na,female
ANN MCKEE,Ann Mckee,white,sme,na,female
ANNE GEARAN,Anne Gearan,white,journalist,na,female
ARI PERITZ,Ari Peritz,white,pundit,rep,male
ARNOLD REED,Arnold Reed,black,pundit,dem,male
ARSALAN IFTIKHAR,Arsalan Iftikhar,middle eastern,pundit,dem,male
ARTHUR BROOKS,Arthur Brooks,white,pundit,rep,male
ASH CARTER,Ash Carter,white,cabinet secretary,dem,male
ASRA NOMANI,Asra Nomani,middle eastern,journalist,na,female
AUBREY LARKIN,Aubrey Larkin,black,sme,dem,male
AUDIE CORNISH,Audie Cornish,black,journalist,na,female
AUSTIN PETERSEN,Austin Petersen,white,activist,lib,male
AYMAN MOHYELDIN,Ayman Mohyeldin,middle eastern,journalist,na,male
BARBARA McQUADE,Barbara Mcquade,white,administration,dem,female
BEN GINSBERG,Ben Ginsberg,white,pundit,rep,male
BEN SHAPIRO,Ben Shapiro,white,pundit,rep,male
BEVERLY NELSON,Beverly Nelson,white,sme,dem,female
BILL MCINTURFF,Bill Mcinturff,white,pundit,rep,male
BILL MONROE,Bill Monroe,white,journalist,na,male
BILL NEELY,Bill Neely,white,journalist,na,male
BISHOP TD JAKES,TD Jakes,black,clergy,na,male
BOB BURLESON,Bob Burleson,white,pundit,rep,male
BOB MICHEL,Bob Michel,white,elected,rep,male
BOB SIMON,Bob Simon,white,journalist,na,male
BOBBY SHRIVER,Bobby Shriver,white,activist,dem,male
BRAD TODD,Brad Todd,white,pundit,rep,male
BRADLEY PODLISKA,Bradley Podliska,white,sme,na,male
BRENDA TENNEY,Brenda Tenney,white,sme,na,female
BRETT KUHN,Brett Kuhn,white,sme,na,male
BRETT MCGURK,Brett Mcgurk,white,ambassador,dem,male
BRETT O<U+0092>DONNELL,Brett O'Donnell,white,pundit,na,male
BRIAN HANSELMAN,Brian Hanselman,white,sme,na,male
CAROL LEE,Carol Lee,white,journalist,na,female
CAROL ROSENBERG,Carol Rosenberg,white,journalist,na,female
CAROLYN RYAN,Carolyn Ryan,white,journalist,na,female
CATHY ENGELBERT,Cathy Engelbert,white,sme,na,female
CATHY LANIER,Cathy Lanier,white,sme,na,female
Chad Griffin,Chad Griffin,white,pundit,dem,male
CHANCELLOR KAYA HENDERSON,Kaya Henderson,black,administration,dem,female
CHARLES BENSON,Charles Benson,white,journalist,na,male
CHARLES RAMSEY,Charles Ramsey,black,sme,dem,male
CHARLIE BLACK,Charlie Black,white,pundit,rep,male
CHRIS CLAYTON,Chris Clayton,white,journalist,na,male
CHRIS LEHANE,Chris Lehane,white,pundit,dem,male
CHRIS RUDDY,Chris Ruddy,white,pundit,rep,male
CHRISTINA KRABLIN,Christina Krablin,white,sme,na,female
CHRISTOPHER CANTWELL,Christopher Cantwell,white,activist,rep,male
CHRISTOPHER HANSEN,Christopher Hansen,white,sme,na,male
CINDY MORRISON,Cindy Morrison,white,sme,rep,female
CLAIRE ATKINSON,Claire Atkinson,white,journalist,na,female
CLIFFORD SLOAN,Clifford Sloan,white,administration,dem,male
CLINT WATTS,Clint Watts,white,pundit,na,male
CRAIG MELVIN,Craig Melvin,black,journalist,na,male
CURLY HAUGLAND,Curly Haugland,white,activist,rep,male
CYNTHIA MCFADDEN,Cynthia Mcfadden,white,journalist,na,female
CYNTHIA MCFADDEN NATURAL SOUND,Cynthia Mcfadden,white,journalist,na,female
D WATKINS,D Watkins,black,pundit,dem,male
DALE BUMPERS,Dale Bumpers,white,elected,dem,male
DALIA MOGAHED,Dalia Mogahed,middle eastern,sme,na,female
DANNY FREEMAN,Danny Freeman,white,journalist,na,male
DARRYL W PERRY,Darryl Perry,white,activist,lib,male
DAVID BOSSIE,David Bossie,white,pundit,rep,male
DAVID BRODY,David Brody,white,pundit,rep,male
DAVID FOLKENFLIK,David Folkenflik,white,journalist,na,male
DAVID MARANISS,David Maraniss,white,journalist,na,male
DAVID MILLIBAND,David Milliband,white,foreign leader,na,male
DAVID MUIR,David Muir,white,journalist,na,male
DEAN BAQUET,Dean Baquet,black,journalist,na,male
DEAN YOUNG,Dean Young,white,pundit,rep,male
DEMAURICE SMITH,Demaurice Smith,black,sme,na,male
DIAMOND REYNOLDS,Diamond Reynolds,black,sme,na,female
Dick Gregory,Dick Gregory,black,activist,dem,male
DOUG JONES,Doug Jones,white,elected,dem,male
DR BEN CARSON,Ben Carson,black,cabinet,rep,male
DR ERIN BOWEN,Erin Bowen,white,sme,na,female
DWAYNE JOHNSON,Dwayne Johnson,black,entertainer,dem,male
ED GILLESPIE,Ed Gillespie,white,pundit,rep,male
ED HENRY,Ed Henry,white,journalist,na,male
EDDIE GLAUDE JR,Eddie Glaude,black,sme,na,male
Eddie Glaude Jr,Eddie Glaude,black,sme,na,male
Edie Windsor,Edie Windsor,white,activist,dem,female
ELIANA JOHNSON,Eliana Johnson,white,journalist,na,female
ELIE WIESEL,Elie Wiesel,white,activist,na,male
ELIJAH CUMMINGS,Elijah Cummings,black,elected,dem,male
ELISABETH BUMILLER,Elisabeth Bumiller,white,journalist,na,female
ELISE JORDAN,Elise Jordan,white,journalist,na,female
ELIZABETH WARREN,Elizabeth Warren,white,elected,dem,female
ELLE REEVE,Elle Reeve,white,journalist,na,female
ELLEN DEGENERES,Ellen Degeneres,white,entertainer,dem,female
ERIC CANTOR,Eric Cantor,white,elected,rep,male
ERIC TRUMP,Eric Trump,white,administration,rep,male
ERICK ERICKSON,Erick Erickson,white,pundit,rep,male
ERICK ERICKSON ON TAPE,Erick Erickson,white,pundit,rep,male
ERNA SOLBERG,Erna Solberg,white,foreign leader,na,female
EUGENE ROBINSON,Eugene Robinson,black,journalist,na,male
Eugene Robinson,Eugene Robinson,black,journalist,na,male
EVAN WOLFSON,Evan Wolfson,white,activist,dem,male
FIRE COMMISSIONER DANIEL NIGRO,Daniel Nigro,white,sme,dem,male
FMR AMB ROBERT FORD,Robert Ford,white,ambassador,na,male
FMR REP J C WATTS,JC Watts,black,elected,rep,male
FRANCOIS HEISBOURG,Francois Heisbourg,white,sme,na,male
FRANK LUTZ,Frank Lutz,white,pundit,rep,male
FRED ARMISEN,Fred Armisen,white,entertainer,dem,male
GABE GUTIERREZ,Gabe Gutierrez,hispanic,journalist,na,male
GARRICK UTLEY,Garrick Utley,white,journalist,na,male
GARRY TRUDEAU,Garry Trudeau,white,foreign leader,na,male
GEORGE PATAKI,George Pataki,white,activist,rep,male
GEORGE STEPHANOPOULOS,George Stephanopoulos,white,journalist,na,male
GEORGE W BUSH,George W Bush,white,elected,rep,male
GEORGE WEIGEL,George Weigel,white,activist,na,male
GEORGE WILL,George Will,white,pundit,rep,male
George Will,George Will,white,pundit,rep,male
GERALD SEIB,Gerald Seib,white,journalist,na,male
GERARD BAKER,Gerard Baker,white,journalist,na,male
Glenn Beck,Glenn Beck,white,pundit,rep,male
GLENN BECK,Glenn Beck,white,pundit,rep,male
GLORIA STEINEM,Gloria Steinem,white,activist,dem,female
GOV ASA HUTCHINSON,Asa Hutchinson,white,elected,rep,male
GOV CHRIS CHRISTIE,Chris Christie,white,elected,rep,male
GOV JEB BUSH,Jeb Bush,white,elected,rep,male
GOV JERRY BROWN,Jerry Brown,white,elected,dem,male
GOV JOHN HICKENLOOPER,John Hickenlooper,white,elected,dem,male
GOV JOHN KASICH,John Kasich,white,elected,rep,male
GOV JOHN KASICH R OH,John Kasich,white,elected,rep,male
GOV KENNETH MAPP I VI,Kenneth Mapp,black,elected,ind,male
GOV MIKE HUCKABEE,Mike Huckabee,white,elected,rep,male
GOV MITT ROMNEY,Mitt Romney,white,elected,rep,male
GOV NIKKI HALEY,Nikki Haley,asian,elected,rep,female
GOV PAT MCCRORY,Pat McCrory,white,elected,rep,male
GOV PAUL LEPAGE,Paul LePage,white,elected,rep,male
GOV RICK PERRY,Rick Perry,white,elected,rep,male
GOV RICK SCOTT,Rick Scott,white,elected,rep,male
GOV SCOTT WALKER,Scott Walker,white,elected,rep,male
GOVERNOR BOBBY JINDAL,Bobby Jindal,indian,elected,rep,male
GOVERNOR GARY JOHNSON,Gary Johnson,white,elected,rep,male
GOVERNOR JERRY BROWN,Jerry Brown,white,elected,dem,male
GOVERNOR JIM JUSTICE,Jim Justice,white,elected,rep,male
GOVERNOR JOHN KASICH,John Kasich,white,elected,rep,male
GREG BOURKE,Greg Bourke,white,activist,dem,male
GREGG POPOVICH,Gregg Popovich,white,activist,dem,male
GRETA VAN SUSTEREN,Greta Van Susteren,white,journalist,na,female
GWEN IFILL,Gwen Ifill,black,journalist,dem,female
H R MCMASTER,HR McMaster,white,administration,rep,male
HAL BOEDEKER,Hal Boedeker,white,journalist,na,male
HALEY BARBOUR,Haley Barbour,white,elected,rep,male
HALLIE JACKSON,Hallie Jackson,white,journalist,na,female
HAMEED DARWEESH,Hameed Darweesh,middle eastern,activist,dem,male
HARRY REID,Harry Reid,white,elected,dem,male
HARRY REID ON TAPE,Harry Reid,white,elected,dem,male
HARRY SMITH,Harry Smith,white,journalist,na,male
HASAN MINHAJ,Hasan Minhaj,middle eastern,entertainer,dem,male
HEATHER,Heather Mcghee,black,activist,dem,female
HEATHER McGHEE,Heather Mcghee,black,activist,dem,female
HEATHER MCGHEE,Heather Mcghee,black,activist,dem,female
Heather McGhee,Heather Mcghee,black,activist,dem,female
HELEN COOPER,Helen Cooper,black,journalist,na,female
HELENE COOPER,Helene Cooper,black,journalist,na,female
HENRY BARBOUR,Henry Barbour,white,activist,rep,male
HENRY HANK SANDERS,Henry Hank Sanders,black,elected,dem,male
HENRY KISSINGER,Henry Kissinger,white,administration,rep,male
HILLARY CLINTON,Hillary Clinton,white,cabinet secretary,dem,female
HILLARY CLINTON ARCHIVE,Hillary Clinton,white,cabinet secretary,dem,female
HOGAN GIDLEY,Hogan Gidley,white,administration,rep,male
HON JAMES ROBART,James Robart,white,judge,na,male
HOUSE SPEAKER PAUL RYAN,Paul Ryan,white,elected,rep,male
HOWARD DEAN,Howard Dean,white,elected,dem,male
HOWARD STERN,Howard Stern,white,entertainer,na,male
HUGH HEWITT,Hugh Hewitt,white,pundit,rep,male
JACK GERMOND,Jack Germond,white,journalist,na,male
JAMES CARR,James Carr,white,journalist,na,male
JAMES CARVILLE,James Carville,white,pundit,dem,male
JAMES CLAPPER,James Clapper,white,administration,na,male
JAMES COMEY,James Comey,white,administration,na,male
JAMIE DIMON,Jamie Dimon,white,sme,na,male
JAN CRAWFORD,Jan Crawford,white,journalist,na,female
JAN RADER,Jan Rader,white,sme,na,female
JANE HARMAN,Jane Harman,white,elected,dem,female
JAVAD ZARIF,Javad Zarif,middle eastern,foreign leader,na,male
JAY SEKULOW,Jay Sekulow,white,administration,rep,male
JAY WEBER,Jay Weber,white,pundit,rep,male
JEAN CHARLES BRISARD,Jean Charles Brisard,white,sme,na,male
JEANINE PIRRO,Jeanine Pirro,black,pundit,rep,female
JEFF FLAKE,Jeff Flake,white,elected,rep,male
JEFF GREENBERG,Jeff Greenfield,white,journalist,na,male
JEFF GREENFIELD,Jeff Greenfield,white,journalist,na,male
JEFF PASH,Jeff Pash,white,sme,na,male
JEFF ROE,Jeff Roe,white,pundit,rep,male
JEFF SESSIONS,Jeff Sessions,white,elected,rep,male
JEFFREY GOLDBERG,Jeffrey Goldberg,white,journalist,na,male
JEH JOHNSON,Jeh Johnson,black,cabinet secretary,dem,male
JENNIFER JACOBS,Jennifer Jacobs,white,journalist,na,female
JENNIFER PALMIERI,Jennifer Palmieri,white,pundit,dem,female
JENNIFER RUBEN,Jennifer Ruben,white,pundit,rep,female
JENNIFER RUBIN,Jennifer Rubin,white,pundit,rep,female
Jennifer Rubin,Jennifer Rubin,white,pundit,rep,female
JEREMY BASH,Jeremy Bash,white,administration,na,male
JERRY BROWN,Jerry Brown,white,elected,dem,male
JERRY SEIB,Jerry Seib,white,journalist,na,male
JESSICA LEEDS,Jessica Leeds,white,sme,na,female
JIM BENNETT,Jim Bennett,white,activist,ind,male
JIM BROWN,Jim Brown,black,journalist,na,male
JIM CRAMER,Jim Cramer,white,pundit,na,male
JIM VANCE,Jim Vance,black,journalist,na,male
JIM VANDEHEI,Jim Vandehei,white,journalist,na,male
JIMMY CARTER,Jimmy Carter,white,elected,dem,male
JM BERGER,JM Berger,white,sme,na,male
JOE LOCKHART,Joe Lockhart,white,pundit,dem,male
JOE MANCHIN,Joe Manchin,white,elected,dem,male
JOE MCQUAID,Joe Mcquaid,white,pundit,rep,male
JOE SCARBOROUGH,Joe Scarborough,white,pundit,rep,male
JOE TOOHEY,Joe Toohey,white,journalist,na,male
JOEL BENENSON,Joel Benenson,white,pundit,dem,male
JOHN BOEHNER,John Boehner,white,elected,rep,male
JOHN BRENNAN,John Brennan,white,administration,na,male
JOHN CARLIN,John Carlin,white,sme,na,male
JOHN CORNYN,John Cornyn,white,elected,rep,male
JOHN HARWOOD,John Harwood,white,journalist,na,male
JOHN KASICH,John Kasich,white,elected,rep,male
JOHN KELLY,John Kelly,white,administration,rep,male
JOHN KERRY,John Kerry,white,cabinet secretary,dem,male
JOHN LEWIS,John Lewis,black,elected,dem,male
JOHN LOVETT,John Lovett,white,pundit,dem,male
JOHN MCCAIN,John Mccain,white,elected,rep,male
JOHN McCAIN,John Mccain,white,elected,rep,male
JOHN MCLAUGHLIN,John Mclaughlin,white,journalist,na,male
JOHN NICHOLS,John Nichols,white,pundit,dem,male
JOHN PODESTA,John Podesta,white,pundit,dem,male
JOHN STANTON,John Stanton,white,journalist,na,male
JOHN SUNUNU,John Sununu,white,elected,rep,male
JON ALTERMAN,Jon Alterman,white,pundit,dem,male
JON MEACHAM,Jon Meacham,white,historian,na,male
JON OSSOFF,Jon Ossoff,white,activist,dem,male
JON RALSTON,Jon Ralston,white,journalist,na,male
JONATHAN MARTIN,Jonathan Martin,white,journalist,na,male
JONATHAN RAUCH,Jonathan Rauch,white,activist,dem,male
JONI ERNST,Joni Ernst,white,elected,rep,male
JORDAN FRASIER,Jordan Frasier,white,journalist,na,male
JOSE ANTONIO VARGAS,Jose Antonio Vargas,hispanic,activist,na,male
JOSE DIAZ BALART,Jose Diaz Balart,hispanic,journalist,na,male
JOSH EARNEST,Josh Earnest,white,pundit,dem,male
JOY ANN REID,Joy Reid,black,pundit,dem,female
JOY REID,Joy Reid,black,pundit,dem,female
JUAN ZARATE,Juan Zarate,white,administration,rep,male
JULIAN ASSANGE,Julian Assange,white,activist,na,male
JULIAN BOND,Julian Bond,black,elected,dem,male
JULIUS KREIN,Julius Krein,white,pundit,rep,male
KAHTLEEN PARKER,Kathleen Parker,white,pundit,na,female
KAILANI KOENIG,Kailani Koenig,white,journalist,na,female
KAREEM ABDUL JABBAR,Kareem Abdul Jabbar,black,activist,dem,male
KAREN FINNEY,Karen Finney,white,pundit,dem,female
KASIE HUNT,Kasie Hunt,white,journalist,na,female
Kate O<U+0092>Beirne,Kate O'Beirne,white,pundit,rep,female
KATHLEEN PARKER,Kathleen Parker,white,pundit,na,female
KATHLEEN SEBELIUS,Kathleen Sebelius,white,cabinet secretary,dem,female
KATIE PACKER,Katie Packer,white,pundit,rep,female
KATRINA PIERSON,Katrina Pierson,white,pundit,rep,female
KATTY KAY,Katty Kay,white,journalist,na,female
KATY TUR,Katy Tur,white,journalist,na,female
Katy Tur,Katy Tur,white,journalist,na,female
KAYLA MOORE,Kayla Moore,white,pundit,rep,female
KEIR SIMMONS,Keir Simmons,white,journalist,na,male
KELLI WARD,Kelli Ward,white,pundit,rep,female
KELLY AYOTTE,Kelly Ayotte,white,elected,rep,female
KELLY O DONNELL,Kelly O'Donnell,white,journalist,na,female
KELLY O<U+0092>DONNELL,Kelly O'Donnell,white,journalist,na,female
KELLY TUR,Katy Tur,white,journalist,na,female
KELLYANNE CONWAY,Kellyanne Conway,white,pundit,rep,female
KENDAL UNRUH,Kendal Unruh,white,activist,rep,female
KEVIN MADDEN,Kevin Madden,white,activist,rep,male
KEVIN MCCARTHY,Kevin McCarthy,white,elected,rep,male
KEVIN TIBBLES,Kevin Tibbles,white,journalist,na,male
KEVIN TIBBLES V O,Kevin Tibbles,white,journalist,na,male
KHIZR KHAN,Khizr Khan,middle eastern,activist,dem,male
KHIZR Khan,Khizr Khan,middle eastern,activist,dem,male
KIM STRASSEL,Kimberley Strassel,white,pundit,rep,female
KIMBERLEY STRASSEL,Kimberley Strassel,white,pundit,rep,female
KIMBERLY STRASSEL,Kimberly Strassel,white,pundit,rep,female
KISHANNA BROWN,Kishanna Brown,black,activist,na,female
KRISTEN WELKER,Kristen Welker,asian,journalist,na,female
KRISTIN ANDERSON,Kristin Anderson,white,pundit,rep,female
LANHEE CHEN,Lanhee Chen,asian,pundit,rep,female
LANNY DAVIS,Lanny Davis,white,pundit,dem,male
LARRY KUDLOW,Larry Kudlow,white,pundit,rep,male
LARRY KUDROW,Larry Kudrow,white,pundit,rep,male
LAURA INGRAHAM,Laura Ingraham,white,pundit,rep,female
LAWRENCE O<U+0092>DONNELL,Lawrence O'Donnell,white,pundit,dem,male
LEON PANETTA,Leon Panetta,white,cabinet secretary,dem,male
LESTER HOLT,Lester Holt,black,journalist,na,male
LINDA SANCHEZ,Linda Sanchez,hispanic,elected,dem,female
LINDSAY GRAHAM,Lindsay Graham,white,elected,rep,male
LINDSEY GRAHAM,Lindsey Graham,white,elected,rep,male
LISA MONACO,Lisa Monaco,white,administration,dem,female
LISA MYERS,Lisa Myers,white,journalist,na,female
LORETTA LYNCH,Loretta Lynch,black,cabinet secretary,dem,female
LT GEN H R McMASTER,HR McMaster,white,administration,rep,male
LT GENERAL DAN BOLGER,Dan Bolger,white,military,na,male
LT GOV DAN PATRICK,Dan Patrick,white,elected,rep,male
LUKE RUSSERT,Luke Russert,white,journalist,na,male
MAGGIE HABERMAN,Maggie Haberman,white,journalist,na,female
MAJ GEN BRETT WILLIAMS,Brett Williams,white,military,na,male
MAJOR GARRETT,Major Garrett,white,journalist,na,male
MALCOLM GLADWELL,Malcolm Gladwell,white,pundit,na,male
MANU RAJU,Manu Raju,asian,journalist,na,male
MARC ALLAN FELDMAN,Marc Allan Feldman,white,activist,lib,male
MARC CAPUTO,Marc Caputo,white,journalist,na,male
MARC SHORT,Marc Short,white,administration,rep,male
MARCO CAPUTO,Marc Caputo,white,journalist,na,male
MARCO RUBIO,Marco Rubio,white,elected,rep,male
MARIA HINOJOSA,Maria Hinojosa,hispanic,journalist,na,male
MARIA SHRIVER,Maria Shriver,white,activist,dem,female
